Stations_id, von_datum,bis_datum,Stationshoehe, geoBreite,geoLaenge ,Stationsname, Bundesland, Abgabe
5987,20180523,20241030,591,48.287,9.4996,Hayingen-Anhausen,Baden-Württemberg,Frei
5988,20180523,20241029,415,49.1638,9.9162,Ilshofen,Baden-Württemberg,Frei
5989,20180523,20241030,262,49.3502,9.7871,Mulfingen,Baden-Württemberg,Frei
5990,20180523,20241030,221,49.0137,9.3153,Oberstenfeld,Baden-Württemberg,Frei
5991,20180523,20241030,234,48.4997,8.1376,Oppenau Oberes Renchtal,Baden-Württemberg,Frei
5992,20180110,20241030,266,48.853,9.5365,Rudersberg-Michelau,Baden-Württemberg,Frei
5993,20180624,20241030,653,47.7595,9.7724,Vogt,Baden-Württemberg,Frei
5994,20180523,20241030,968,48.0277,8.2896,Vöhrenbach,Baden-Württemberg,Frei
6041,20190501,20241030,38,51.5496,6.9451,Bottrop-Eigen,Nordrhein-Westfalen,Frei
6042,20190501,20241030,29,51.6671,6.9732,Dorsten-Harsewinkel,Nordrhein-Westfalen,Frei
6043,20190501,20241030,70,51.537,7.5808,Dortmund-Asseln,Nordrhein-Westfalen,Frei
6044,20190501,20241030,49,51.5736,7.2056,Recklinghausen-Reitwinkel,Nordrhein-Westfalen,Frei
6045,20190501,20241030,74,51.89,7.2657,Rorup,Nordrhein-Westfalen,
6046,20190501,20241030,83,51.5807,8.08,Soest/Soestbach,Nordrhein-Westfalen,Frei
6047,20190201,20241030,78,50.995,6.7104,Bergheim-Büsdorf,Nordrhein-Westfalen,
